,41,42,43,44,45
Our,6227.8,5372.8,6610.2,5935.2,4268.4
No,4021.1,6811.9,6492,6331.3,3627.1
Equal,9119,9485.9,9534.1,8942.6,8885.6
Scoot,5675,6002,6544,5919,5543
Scats,5007,5495,4153,4641,5251
