equal,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,11.556711,39.681298,60,25
120-240,23.94785,30.275555,93,85
240-360,35.712538,23.318311,121,96
360-480,43.527749,19.59153,162,92
480-600,48.094218,16.770958,172,107
600-720,49.948353,14.935777,206,90
SUM,,,,495
0-120,8.470919,41.775798,48,23
120-240,16.677594,34.925681,81,82
240-360,29.037506,27.78158,112,91
360-480,31.080804,23.57921,128,108
480-600,43.549354,19.258335,177,91
600-720,43.482271,14.681166,206,78
SUM,,,,473
0-120,10.821334,40.351548,46,25
120-240,17.000477,34.599283,98,69
240-360,27.955205,27.572567,104,109
360-480,37.41647,21.99997,132,96
480-600,40.237301,20.026356,165,109
600-720,47.32615,15.051473,201,78
SUM,,,,486
0-120,9.375053,42.072672,57,39
120-240,19.328743,33.711213,74,92
240-360,29.002551,27.063242,92,90
360-480,38.20841,22.348038,130,87
480-600,45.505556,18.633862,160,101
600-720,50.594073,14.430031,188,83
SUM,,,,492
0-120,10.527499,40.25423,80,28
120-240,25.989284,28.741694,97,94
240-360,35.281753,24.201967,105,98
360-480,34.511791,23.464698,125,103
480-600,43.247846,18.992831,145,103
600-720,52.728851,16.13029,183,92
720-840,39.822676,13.716715,209,64
SUM,,,,582
