,41,42,43,44,45
Our,1036.9,901.9,835.2,925.2,1072.3
No,390.5,652.2,591,762.7,502.3
Equal,708.8,692.6,703.9,707.6,799.9
Scoot,736,609,736,736,736
Scats,616,615,737,625,737
