no,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,5.663019,44.536722,53,32
120-240,37.866576,21.782798,134,37
240-360,63.322725,11.603341,204,54
360-480,21.888606,9.37722,220,16
SUM,,,,139
0-120,4.968748,44.753084,43,28
120-240,14.149222,36.147391,93,65
240-360,36.729985,22.465326,132,83
360-480,42.537496,18.891207,169,87
480-600,55.026812,12.799946,232,77
600-720,35.123635,9.077667,266,31
SUM,,,,371
0-120,2.814119,47.487626,37,34
120-240,11.710846,38.319252,94,64
240-360,35.855529,23.631692,125,84
360-480,43.06589,18.586339,156,93
480-600,53.368983,13.455428,212,73
SUM,,,,348
0-120,8.707858,42.401644,59,37
120-240,13.708225,36.713653,80,88
240-360,36.930199,21.868824,123,65
360-480,43.587897,19.266111,159,89
480-600,54.583597,13.878109,207,83
600-720,66.571451,10.023272,257,78
720-840,30.359956,9.436455,270,33
SUM,,,,473
0-120,9.478098,40.665164,78,30
120-240,31.226792,25.11007,118,71
240-360,45.764706,18.287804,145,79
360-480,57.700722,12.686223,201,67
480-600,16.174696,9.668779,217,13
SUM,,,,260
