,41,42,43,44,45
Our,6265.6,5495.6,5830.4,5175.4,5726.7
No,4961.8,5730.4,5857.5,6232.7,6335.4
Equal,6665.9,6482.6,6700.3,6235.8,6214.3
Scoot,6229,6125,6419,5536,5596
Scats,5740,5740,5129,4519,5008
