our,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,0.60373,48.02315,12,15
120-240,0.79328,46.915594,17,24
240-360,1.000552,46.918201,16,30
360-480,5.19261,42.903296,29,31
480-600,31.694251,23.270368,41,25
600-720,32.352536,25.33312,35,43
720-840,49.853989,14.008034,72,11
840-960,43.478357,17.936843,61,55
960-1080,22.609469,28.822509,30,67
1080-1200,1.64139,46.10898,35,46
1200-1320,2.614227,45.172943,27,52
1320-1440,3.179281,45.049758,24,56
1440-1560,2.357785,45.182166,25,32
1560-1680,1.715169,46.506543,25,47
1680-1800,2.104524,46.004793,29,50
1800-1920,2.562534,45.723451,32,57
1920-2040,2.465538,45.073823,33,56
2040-2160,2.400265,45.11663,29,54
2160-2280,1.852948,45.965297,28,51
2280-2400,1.621954,46.155145,32,41
2400-2520,2.540581,45.186857,46,56
2520-2640,3.551892,43.795968,23,58
2640-2760,2.243926,45.822155,30,49
2760-2880,2.370367,45.449457,39,50
2880-3000,6.815165,41.386561,31,65
3000-3120,3.426786,44.462096,37,62
3120-3240,26.460371,26.353773,70,31
3240-3360,35.840634,18.931733,79,49
3360-3480,32.576291,21.31134,96,66
3480-3600,32.124343,22.755404,76,77
3600-3720,27.608607,24.370825,79,75
3720-3840,25.011743,27.684273,74,85
3840-3960,19.18592,30.173038,58,84
3960-4080,17.627802,32.893405,59,77
4080-4200,13.609534,34.663841,53,76
4200-4320,7.040983,41.053002,49,86
4320-4440,7.980719,40.199168,60,81
4440-4560,9.86237,38.347668,41,84
4560-4680,3.939295,43.782968,54,71
4680-4800,12.91868,36.203988,58,75
4800-4920,12.39853,36.363115,52,86
4920-5040,5.784214,41.586657,47,78
5040-5160,6.661185,41.018634,56,72
5160-5280,36.160997,16.093571,113,29
5280-5400,39.013684,12.641551,158,51
5400-5520,31.100097,12.335889,178,73
5520-5640,31.784104,10.629276,197,72
5640-5760,38.948657,7.30129,234,48
5760-5880,34.684485,7.594914,242,71
5880-6000,37.405284,7.834869,245,73
6000-6120,35.018928,9.353714,259,84
6120-6240,36.904593,7.905346,270,78
6240-6360,9.215468,7.264603,277,13
SUM,,,,3028
0-120,0.473839,47.758728,11,12
120-240,1.846753,45.826223,12,19
240-360,0.681415,47.534557,19,21
360-480,1.099574,46.926552,17,39
480-600,0.702437,47.463341,22,27
600-720,1.294883,46.748996,27,41
720-840,1.439095,46.790905,26,46
840-960,1.814273,46.093716,25,47
960-1080,1.58333,46.322117,22,42
1080-1200,1.533996,45.995365,25,34
1200-1320,1.269151,46.424102,29,41
1320-1440,3.532236,44.502577,32,51
1440-1560,1.530994,46.399059,23,47
1560-1680,2.570264,45.688517,29,51
1680-1800,3.024887,44.487508,31,59
1800-1920,2.752593,45.052881,33,55
1920-2040,2.157407,45.943233,31,55
2040-2160,1.584025,46.407888,23,47
2160-2280,1.772088,46.027175,19,46
2280-2400,0.917065,46.962464,29,35
2400-2520,2.48266,45.635977,31,56
2520-2640,3.426235,44.143914,25,48
2640-2760,4.947186,43.556514,27,55
2760-2880,2.728167,45.237778,36,55
2880-3000,3.505866,44.412866,35,69
3000-3120,3.828209,44.003965,36,65
3120-3240,27.703452,25.332098,65,32
3240-3360,36.866724,17.380077,93,39
3360-3480,22.546023,27.950293,79,92
3480-3600,29.566958,23.616792,60,73
3600-3720,15.005356,34.216055,47,79
3720-3840,7.213864,40.628554,45,77
3840-3960,43.582405,15.215571,87,24
3960-4080,61.396078,4.298754,153,1
4080-4200,35.729303,14.02408,142,71
4200-4320,34.5976,14.40603,137,81
4320-4440,36.601571,11.830387,167,61
4440-4560,31.660183,13.191838,162,84
4560-4680,40.090872,12.011613,161,73
4680-4800,44.302451,9.487323,175,69
4800-4920,32.645371,11.41008,196,67
4920-5040,35.931883,9.601244,191,79
5040-5160,30.720626,10.297563,204,72
5160-5280,31.966113,9.237663,233,63
5280-5400,35.029202,6.356373,247,61
5400-5520,29.043436,6.548378,254,50
SUM,,,,2411
0-120,0.954232,47.82534,13,13
120-240,1.214396,46.674673,8,23
240-360,0.277117,48.270319,18,17
360-480,1.535379,46.572022,18,37
480-600,1.024495,47.09789,15,34
600-720,1.636459,46.239482,34,33
720-840,2.918098,44.969532,22,56
840-960,1.638893,45.816447,32,38
960-1080,1.690441,46.106301,20,46
1080-1200,1.648073,47.063265,15,44
1200-1320,1.446978,46.651172,24,36
1320-1440,2.230046,45.518099,41,38
1440-1560,2.240988,45.568913,24,65
1560-1680,2.067287,45.671073,22,48
1680-1800,3.031428,45.008282,21,51
1800-1920,1.913001,46.181403,35,47
1920-2040,2.599001,45.28297,36,56
2040-2160,2.367145,45.448435,27,54
2160-2280,1.493861,46.284377,24,46
2280-2400,1.11528,47.202139,23,44
2400-2520,2.412082,45.449537,28,49
2520-2640,8.719293,38.69455,43,35
2640-2760,42.769806,18.070052,72,26
2760-2880,18.314628,31.904505,51,86
2880-3000,5.536638,42.184495,35,81
3000-3120,4.518194,43.161988,46,62
3120-3240,6.782481,40.689665,45,65
3240-3360,9.159365,38.351921,62,61
3360-3480,28.158762,24.384382,83,58
3480-3600,21.371966,28.859864,49,84
3600-3720,5.183439,42.630032,41,79
3720-3840,5.482349,42.485915,47,70
3840-3960,7.098398,40.366458,50,74
3960-4080,5.100884,42.467363,46,73
4080-4200,3.644001,44.409625,36,71
4200-4320,5.315472,42.775795,59,63
4320-4440,28.706679,23.665185,94,54
4440-4560,22.860226,28.062791,80,96
4560-4680,19.17908,31.397899,79,97
4680-4800,29.514195,20.047861,83,71
4800-4920,26.085088,26.463421,101,76
4920-5040,26.90302,23.313398,105,91
5040-5160,37.894791,11.326638,141,47
5160-5280,53.304154,4.373794,202,7
5280-5400,34.992943,9.360735,222,72
5400-5520,42.139292,9.098729,240,69
5520-5640,34.407917,8.146218,248,76
5640-5760,42.306948,9.238752,253,86
5760-5880,25.353729,6.539105,265,39
SUM,,,,2744
0-120,0.858824,47.630348,18,16
120-240,0.91166,47.278385,12,34
240-360,0.833036,47.920444,22,26
360-480,1.493214,46.625539,17,39
480-600,1.758091,45.99317,18,33
600-720,1.592189,46.567488,23,33
720-840,1.974881,45.536227,24,40
840-960,0.80079,47.473863,26,39
960-1080,1.773439,45.812081,21,38
1080-1200,3.998412,44.223008,22,44
1200-1320,1.676826,46.326255,23,46
1320-1440,1.32326,46.581765,38,41
1440-1560,2.556161,45.03205,24,63
1560-1680,2.282416,46.005109,23,38
1680-1800,3.036696,44.756512,22,49
1800-1920,1.980676,45.841605,31,42
1920-2040,2.440944,45.236047,35,51
2040-2160,2.035753,45.799691,24,56
2160-2280,1.448517,46.674559,29,48
2280-2400,3.078154,44.648925,28,50
2400-2520,2.300391,45.75008,33,50
