equal,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
5640-5760,41.034878,20.259772,102,76
5760-5880,41.447443,21.473556,111,91
5880-6000,40.888742,19.483938,109,91
6000-6120,45.288508,20.104732,111,90
6120-6240,40.32101,19.284608,127,88
6240-6360,50.540218,16.84201,132,88
6360-6480,52.846068,15.850623,150,87
6480-6600,61.610251,13.094673,150,87
6600-6720,53.662213,13.263142,173,62
SUM,,,,3540
0-120,9.943452,42.18541,22,12
120-240,12.102738,37.555253,13,37
240-360,8.454832,42.361285,23,26
360-480,18.933353,34.486685,21,36
480-600,11.699009,38.369218,21,34
600-720,10.183267,40.129181,27,32
720-840,13.187486,36.682256,29,39
840-960,12.248608,37.064968,28,42
960-1080,12.594181,37.651518,23,38
1080-1200,16.612287,36.112964,30,38
1200-1320,12.353985,37.712834,29,48
1320-1440,9.969808,39.050163,41,44
1440-1560,15.432832,35.330113,30,60
1560-1680,11.357751,39.27894,26,41
1680-1800,14.690576,36.590543,28,46
1800-1920,14.296116,36.352373,38,41
1920-2040,13.424133,36.189808,40,53
2040-2160,16.533536,34.587687,31,54
2160-2280,11.396928,38.929236,32,52
2280-2400,11.428264,38.472949,32,49
2400-2520,12.836202,37.350372,33,54
2520-2640,9.891126,40.101564,34,51
2640-2760,10.334187,39.743425,48,52
2760-2880,14.529161,35.297368,47,70
2880-3000,19.052721,33.651635,36,69
3000-3120,14.780171,35.956258,62,56
3120-3240,20.61815,31.150282,41,73
3240-3360,14.945605,34.758662,57,54
3360-3480,18.126356,33.138991,57,77
3480-3600,19.346049,33.087938,48,77
3600-3720,15.612511,35.211436,52,73
3720-3840,18.172835,34.024075,45,76
3840-3960,13.816515,35.361404,55,62
3960-4080,18.208722,33.941805,51,81
4080-4200,16.050778,35.374637,55,78
4200-4320,19.088247,32.634872,73,73
4320-4440,21.961921,30.687338,76,86
4440-4560,23.526302,29.112476,89,92
4560-4680,36.768658,23.135954,104,86
4680-4800,43.403844,20.368378,90,94
4800-4920,42.901655,19.814713,108,74
4920-5040,49.314046,16.482189,105,72
5040-5160,42.868424,19.696104,117,82
5160-5280,47.045328,18.52259,114,92
5280-5400,47.551094,17.57955,116,83
5400-5520,50.006851,17.341934,127,83
5520-5640,49.293162,17.811468,129,91
5640-5760,48.136382,16.732779,118,88
5760-5880,53.290445,15.431432,139,74
5880-6000,54.478379,14.947649,148,85
6000-6120,60.087698,13.43572,157,85
6120-6240,56.59917,13.994321,177,81
SUM,,,,3246
0-120,10.118007,40.63457,25,6
120-240,12.931661,37.097477,22,39
240-360,11.593681,37.927969,32,33
360-480,14.272524,36.944044,19,45
480-600,8.41867,40.652089,22,30
600-720,11.963667,39.618388,25,41
720-840,13.217595,37.46787,29,35
840-960,10.024089,39.818845,23,47
960-1080,8.752257,41.315997,16,36
1080-1200,12.262329,38.848513,26,30
1200-1320,15.355177,36.885883,31,48
1320-1440,13.219568,36.328477,34,46
1440-1560,10.520977,39.047835,30,50
1560-1680,11.307967,38.822291,27,41
1680-1800,13.966635,37.450327,34,47
1800-1920,11.624734,38.725751,28,51
1920-2040,11.104441,38.626674,33,47
2040-2160,12.912058,37.230573,29,47
2160-2280,9.890009,40.2548,34,53
2280-2400,14.104524,36.692592,41,53
2400-2520,13.64966,36.255294,33,55
2520-2640,13.48219,38.048189,37,56
2640-2760,12.236057,37.468666,45,58
2760-2880,16.669745,33.883003,51,62
2880-3000,15.95574,35.78748,43,74
3000-3120,12.424807,37.4369,52,66
3120-3240,15.995455,35.573896,33,73
3240-3360,15.536494,35.133836,41,52
3360-3480,15.172587,35.822703,45,67
3480-3600,17.398364,34.136863,43,61
3600-3720,16.775152,33.766032,55,62
3720-3840,21.630796,31.640584,45,76
3840-3960,15.528772,35.314297,47,69
3960-4080,18.315336,33.980595,51,74
4080-4200,19.507406,33.150703,60,73
4200-4320,20.952184,30.827477,60,75
4320-4440,25.677677,28.955062,74,68
4440-4560,24.529626,28.192118,88,80
4560-4680,32.480526,23.583488,101,78
4680-4800,45.094093,19.614837,83,85
4800-4920,40.304779,21.034479,94,70
4920-5040,39.274196,20.557027,84,86
5040-5160,35.958057,23.96889,119,84
5160-5280,42.431423,19.643952,116,97
5280-5400,47.459756,17.269311,118,80
5400-5520,48.845484,17.460534,130,82
5520-5640,50.89456,15.835728,148,86
5640-5760,58.559244,14.392361,136,87
5760-5880,58.476539,13.535683,139,72
5880-6000,55.789637,14.01265,158,81
6000-6120,60.65324,13.891535,157,87
6120-6240,50.464452,12.773389,184,58
SUM,,,,3159
