equal,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,12.578585,39.351964,33,15
120-240,13.152113,37.458572,46,46
240-360,15.761783,35.104993,47,56
360-480,14.755446,36.620791,39,60
480-600,14.770021,35.997535,42,53
600-720,15.669774,35.154221,45,56
720-840,13.671366,37.239602,36,61
840-960,10.048597,40.288251,42,49
960-1080,12.233658,39.048324,52,65
1080-1200,12.90509,37.66217,35,69
1200-1320,10.941536,39.730844,54,58
1320-1440,16.901023,33.687559,46,61
1440-1560,12.03455,38.361752,51,67
1560-1680,13.103884,37.159798,55,63
1680-1800,15.728942,35.891338,45,74
1800-1920,17.229798,33.658363,65,57
1920-2040,16.479943,34.3448,66,80
2040-2160,13.741366,37.115887,66,87
2160-2280,14.809133,35.93878,66,86
2280-2400,15.872334,35.661894,52,83
2400-2520,15.134776,36.053579,55,74
2520-2640,15.168571,36.476543,43,74
2640-2760,14.705681,36.551043,61,64
2760-2880,16.403891,35.309056,44,81
2880-3000,14.525108,36.51249,54,63
3000-3120,10.369178,39.955614,60,77
3120-3240,12.614879,37.785088,69,80
3240-3360,17.465269,34.648936,51,94
3360-3480,13.496918,37.162392,71,75
3480-3600,15.073632,36.11502,55,93
3600-3720,12.591851,38.108673,71,77
3720-3840,15.324444,35.774182,71,99
3840-3960,16.242953,35.096874,76,97
3960-4080,17.845777,33.997937,57,97
4080-4200,17.378637,34.69234,77,90
4200-4320,21.571354,31.721872,74,96
4320-4440,18.396944,33.494961,67,99
4440-4560,15.834311,35.881177,79,101
4560-4680,18.726503,33.047888,84,96
4680-4800,21.026119,31.913612,76,101
4800-4920,17.265729,33.670375,85,96
4920-5040,18.974048,33.229217,74,109
5040-5160,16.778449,34.771689,75,99
5160-5280,22.340152,31.088959,94,98
5280-5400,24.094701,28.785825,102,101
5400-5520,28.999129,26.782207,112,107
5520-5640,32.703391,24.981695,106,115
5640-5760,31.382548,24.698988,125,101
5760-5880,36.422899,22.834311,125,123
SUM,,,,3923
0-120,9.41367,41.598504,25,12
120-240,12.74195,38.040162,32,40
240-360,9.479902,40.233729,36,45
360-480,7.695499,42.451511,43,52
480-600,14.79658,36.42101,41,54
600-720,15.062919,36.284128,41,59
720-840,11.522468,38.92405,56,60
840-960,13.979976,37.374715,45,82
960-1080,11.844168,38.758811,35,62
1080-1200,9.669589,41.476922,33,58
1200-1320,13.994948,37.354344,47,50
1320-1440,10.70184,39.211208,38,61
1440-1560,13.238188,37.752776,52,53
1560-1680,13.97625,36.295736,47,68
