scoot,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
1200-1320,11.303734,39.596645,35,56
1320-1440,11.540026,39.195534,43,56
1440-1560,12.735324,38.306362,43,66
1560-1680,16.450785,35.766588,50,59
1680-1800,14.087752,36.529793,44,78
1800-1920,13.158247,38.696008,56,75
1920-2040,15.213723,35.872247,48,73
2040-2160,13.660643,37.793823,45,72
2160-2280,11.275774,39.40636,51,72
2280-2400,14.628633,37.531551,40,78
2400-2520,9.174811,41.567353,57,75
2520-2640,16.409737,34.917851,74,78
2640-2760,19.323974,33.420062,63,96
2760-2880,19.320336,33.371736,66,87
2880-3000,13.11557,37.771031,40,94
3000-3120,11.245357,40.039644,54,75
3120-3240,12.621879,38.649906,56,82
3240-3360,11.289358,39.551151,46,84
3360-3480,9.885652,40.580251,59,72
3480-3600,17.2316,35.276949,72,84
3600-3720,19.299213,33.900867,69,101
3720-3840,13.44546,38.000131,60,105
3840-3960,14.10691,37.114723,66,87
3960-4080,14.068747,36.807167,63,95
4080-4200,14.9833,36.384411,51,91
4200-4320,9.505929,40.220108,73,72
4320-4440,14.831929,36.805871,71,98
4440-4560,15.100456,35.952579,71,96
4560-4680,14.073152,36.871672,76,100
4680-4800,18.342325,33.664201,90,97
4800-4920,21.611192,31.258546,96,106
4920-5040,27.897144,27.601654,97,99
5040-5160,28.149607,26.552068,104,99
5160-5280,29.556823,25.927108,126,98
5280-5400,37.145066,21.784147,126,102
5400-5520,42.06,19.857911,173,101
5520-5640,51.549248,15.309734,194,103
5640-5760,49.948525,14.285949,201,84
SUM,,,,3780
0-120,10.878185,40.199475,39,15
120-240,14.269891,37.824884,33,63
240-360,13.433132,38.695362,26,54
360-480,10.822944,40.621174,38,46
480-600,10.527531,39.777452,30,58
600-720,9.79234,41.569547,37,54
720-840,14.959242,37.346535,41,64
840-960,15.536199,36.613763,33,58
960-1080,14.706692,37.845429,39,55
1080-1200,10.081873,41.017088,35,62
1200-1320,14.841994,37.304519,38,55
1320-1440,11.544204,39.058991,50,61
1440-1560,15.345505,36.631638,58,74
