our,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
4080-4200,2.923059,45.236078,68,88
4200-4320,5.287223,42.311486,48,101
4320-4440,10.812218,38.645099,84,73
4440-4560,16.408586,33.024048,71,103
4560-4680,26.78382,26.311415,67,79
4680-4800,7.610969,40.497964,50,100
4800-4920,4.075625,43.988613,66,92
4920-5040,37.795521,15.799096,105,35
5040-5160,58.516459,4.984813,155,6
5160-5280,32.097149,14.637439,161,82
5280-5400,26.506578,15.962287,147,105
5400-5520,28.504716,14.838572,141,87
5520-5640,21.905614,18.114959,131,99
5640-5760,18.542051,19.60338,125,106
5760-5880,16.626557,20.683738,127,101
5880-6000,14.628133,22.505672,131,110
6000-6120,16.323782,20.747326,130,106
6120-6240,19.044345,20.375248,139,102
6240-6360,18.806844,18.932079,127,103
6360-6480,17.259657,20.561637,135,101
6480-6600,19.633362,19.60213,126,105
6600-6720,16.148073,21.505818,124,107
6720-6840,21.728932,17.738592,137,84
6840-6960,22.18645,15.223856,134,82
6960-7080,22.978385,16.56149,135,81
7080-7200,18.52929,19.287449,131,101
7200-7320,18.156672,20.347562,135,101
7320-7440,29.069754,15.346699,140,79
7440-7560,23.533521,19.033021,144,107
7560-7680,21.02778,19.146869,141,109
7680-7800,21.963334,17.110355,138,95
7800-7920,28.00897,15.491147,140,81
7920-8040,27.187245,16.38839,155,90
8040-8160,30.495557,12.814295,179,79
8160-8280,18.08845,2.810502,199,0
SUM,,,,5436
0-120,0.808215,47.973609,22,24
120-240,1.127748,47.408147,33,48
240-360,1.190274,47.329646,35,54
360-480,1.789867,46.485513,39,54
480-600,0.999235,47.479061,24,72
600-720,1.021851,47.516656,40,48
720-840,1.730877,46.402558,38,64
840-960,1.432859,47.059338,30,60
960-1080,0.852929,47.7234,34,61
1080-1200,0.801974,47.615474,30,57
1200-1320,0.815374,47.717724,29,54
1320-1440,1.246333,47.168487,38,55
1440-1560,1.163642,47.279074,37,67
1560-1680,21.256511,29.345166,70,33
1680-1800,40.772558,17.34055,87,54
1800-1920,12.242004,35.383636,62,113
1920-2040,4.001203,43.612524,41,86
2040-2160,2.482783,45.908731,37,73
2160-2280,2.496278,45.769483,44,71
2280-2400,1.414527,47.050269,34,77
2400-2520,2.357677,46.254793,53,73
2520-2640,7.844411,40.186002,70,78
2640-2760,28.928269,24.894391,83,72
2760-2880,13.430059,34.396081,62,111
2880-3000,3.754416,44.074545,35,95
3000-3120,3.20978,45.120863,51,73
3120-3240,2.535722,45.730633,51,84
3240-3360,2.529976,45.744457,45,80
3360-3480,12.434364,35.721795,71,59
3480-3600,47.569013,11.976219,140,24
3600-3720,28.068162,16.710822,141,93
3720-3840,24.232715,18.193324,137,104
3840-3960,20.032839,18.40113,125,101
3960-4080,14.371016,23.58111,116,109
4080-4200,15.798511,24.113799,91,104
4200-4320,7.638814,38.770692,71,114
4320-4440,7.208562,41.153137,64,103
4440-4560,11.060455,37.325721,69,91
4560-4680,30.6422,23.276578,113,60
4680-4800,26.301262,21.627751,121,98
4800-4920,15.620951,22.907418,126,109
4920-5040,16.275107,22.537811,114,109
5040-5160,17.446488,20.544576,127,90
5160-5280,24.870654,15.33586,127,80
5280-5400,19.793088,18.461931,126,88
5400-5520,16.086503,21.627189,132,105
5520-5640,16.849441,20.689583,127,105
5640-5760,16.075988,21.425503,122,108
5760-5880,17.766651,20.752156,127,97
5880-6000,15.476317,21.718155,127,106
6000-6120,20.675238,17.501279,127,91
6120-6240,16.442241,21.790218,138,103
6240-6360,20.79386,18.922664,124,104
6360-6480,14.993933,21.736577,125,104
6480-6600,23.717546,15.62724,137,71
6600-6720,25.859482,16.381887,135,90
6720-6840,19.92129,18.905643,137,101
6840-6960,21.837192,18.371994,140,93
6960-7080,20.80873,19.05753,137,102
7080-7200,19.341335,18.738632,131,101
7200-7320,17.691013,19.979435,126,101
7320-7440,16.061319,22.942994,134,110
7440-7560,19.487869,19.519432,128,106
7560-7680,17.101602,20.996986,120,106
7680-7800,18.646906,19.106618,133,84
7800-7920,19.151397,20.291746,127,108
7920-8040,17.121533,20.206704,130,100
