,41,42,43,44,45
Our,7572.6,7177.4,8195.5,9340.2,7517.8
No,5983.7,6735.1,3903.9,6881.6,6377.5
Equal,5876.8,5752.3,5998.7,5510.7,5514.6
Scoot,3539,3372,3396,2680,2711
Scats,5861,5983,5861,5739,5983
