our,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
600-720,4.709756,43.674767,46,67
720-840,2.654789,45.387404,57,71
840-960,4.333794,43.394221,37,84
960-1080,3.65207,44.489468,37,71
1080-1200,2.15525,46.071735,41,70
1200-1320,2.937496,45.24374,42,72
1320-1440,2.287956,45.750432,43,76
1440-1560,2.755839,45.218055,42,71
1560-1680,2.821753,45.179383,44,70
1680-1800,4.954181,43.240684,52,82
1800-1920,7.773941,40.561315,55,87
1920-2040,6.77626,41.446894,57,93
2040-2160,21.110063,28.841922,74,64
2160-2280,8.611441,39.528304,62,108
2280-2400,42.738579,12.914815,119,29
2400-2520,44.387372,8.203723,178,27
2520-2640,27.413577,13.457912,181,89
2640-2760,22.219056,15.793198,180,107
2760-2880,21.67801,15.758771,168,112
2880-3000,20.677003,17.853695,162,114
3000-3120,22.332729,16.721145,173,104
3120-3240,21.614838,15.815713,191,110
3240-3360,23.600749,15.245552,196,107
3360-3480,23.300613,14.675455,176,115
3480-3600,23.034675,16.146461,155,107
3600-3720,20.926499,19.198049,159,117
3720-3840,22.171806,19.073681,143,115
3840-3960,25.150999,18.676087,145,108
3960-4080,24.252418,20.586213,131,111
4080-4200,26.057616,20.340287,116,109
4200-4320,30.807298,17.643676,154,78
4320-4440,21.283242,19.374126,163,114
4440-4560,23.530183,18.670742,155,112
4560-4680,21.7396,18.411487,162,113
4680-4800,23.308015,16.884799,164,101
4800-4920,21.602122,18.078179,151,114
4920-5040,25.284026,18.044008,142,103
5040-5160,21.755287,18.610387,161,108
5160-5280,23.426518,14.919946,192,94
5280-5400,21.523054,14.431926,201,107
5400-5520,19.681151,14.988652,206,116
5520-5640,20.221484,14.323212,209,114
5640-5760,20.771899,14.128804,215,113
5760-5880,21.121968,13.854776,215,115
5880-6000,15.205492,13.437969,226,48
SUM,,,,4512
0-120,1.96345,46.69603,40,27
120-240,3.39527,44.828733,42,73
240-360,1.624666,46.523651,47,69
360-480,3.284714,44.602683,42,69
480-600,1.918734,46.101544,29,70
600-720,1.297087,47.00092,51,60
720-840,51.195485,12.080857,106,12
840-960,35.799619,19.388637,97,78
960-1080,18.285562,30.616504,64,109
1080-1200,7.222705,40.12222,40,92
1200-1320,2.276707,45.855149,43,69
1320-1440,5.434274,42.726261,53,77
1440-1560,5.14719,42.721918,40,81
1560-1680,4.197622,44.010793,43,75
1680-1800,3.992637,44.369581,45,81
1800-1920,6.953453,41.411556,64,84
1920-2040,9.863428,38.455986,61,96
2040-2160,4.395322,43.178438,42,89
2160-2280,3.413532,44.858333,49,80
2280-2400,3.279382,44.703339,47,85
2400-2520,3.540434,44.60029,61,81
2520-2640,6.708278,41.031536,50,88
2640-2760,10.965822,38.196489,64,83
2760-2880,16.913983,33.751123,72,95
2880-3000,8.444516,39.380744,58,106
3000-3120,7.148001,40.917034,70,96
3120-3240,9.502716,38.892519,82,107
3240-3360,16.261036,33.077969,57,108
3360-3480,8.865695,39.593647,59,95
3480-3600,22.640628,25.924221,107,52
3600-3720,61.82504,4.708273,170,12
3720-3840,33.531904,10.763336,207,65
3840-3960,22.909149,13.037673,214,103
3960-4080,22.413497,12.880191,213,109
4080-4200,23.82815,12.676669,217,102
4200-4320,17.049564,10.013771,223,49
SUM,,,,2827
