,41,42,43,44,45
0,4021.1,6811.9,6492,6331.3,3627.1
20,11759.1,19569.1,13815.2,6375.2,6655.8
40,7533.1,7674.1,27290.2,7770.2,3965.8
60,3608.1,10564.1,11550.2,19855.2,5895.8
80,14912.8,8137.8,12445.2,9140.2,21019.2
100,6227.8,5372.8,6610.2,5935.2,4268.4
