40,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,1.740802,47.535234,31,25
120-240,1.049537,48.154822,47,57
240-360,2.115684,46.81771,39,77
360-480,2.404851,46.554513,43,71
480-600,2.062205,46.988714,31,75
600-720,4.997644,43.892753,47,66
720-840,4.635314,44.466403,27,88
840-960,1.969425,47.278168,40,61
960-1080,3.206188,45.574482,43,76
1080-1200,3.225503,45.846707,44,75
1200-1320,2.071783,46.870823,48,78
1320-1440,2.974357,45.92155,32,77
1440-1560,1.567668,47.540083,55,69
1560-1680,3.194071,45.494291,40,73
1680-1800,1.562379,47.504229,42,71
1800-1920,4.267194,44.630609,47,84
1920-2040,3.684011,45.275875,45,84
2040-2160,2.955849,46.064705,36,82
2160-2280,3.132032,45.922712,60,85
2280-2400,6.048769,42.283531,52,92
2400-2520,6.277358,42.611311,69,85
2520-2640,7.50912,41.193764,51,103
2640-2760,24.848553,29.052097,74,68
2760-2880,10.426642,38.158771,64,106
2880-3000,5.727841,42.853412,62,104
3000-3120,9.325418,39.613336,57,99
3120-3240,3.167533,45.502371,63,90
3240-3360,11.550862,37.892332,73,93
3360-3480,13.14306,35.708511,64,91
3480-3600,7.128691,41.642503,51,101
3600-3720,6.153164,42.478139,73,87
3720-3840,12.098336,37.496889,83,108
3840-3960,12.437368,36.574124,77,115
3960-4080,7.648243,40.747212,72,112
4080-4200,37.097187,18.683007,129,46
4200-4320,37.879873,19.667565,136,97
4320-4440,28.305906,23.45714,120,120
4440-4560,36.619539,16.12699,151,78
4560-4680,45.117784,13.133482,172,86
4680-4800,38.580196,17.207176,174,108
4800-4920,46.213719,12.250998,189,84
4920-5040,56.620853,10.190349,228,67
5040-5160,48.82611,11.806741,203,110
5160-5280,42.030401,15.779186,176,119
5280-5400,42.59564,13.953707,190,97
5400-5520,57.950141,9.220081,227,58
5520-5640,53.613778,9.983157,215,94
5640-5760,44.319185,14.122479,194,113
5760-5880,36.364672,15.678788,194,118
5880-6000,45.030094,11.606066,219,81
6000-6120,43.719085,12.476426,196,110
6120-6240,47.061712,11.474773,207,89
6240-6360,42.038308,14.335882,204,114
