20,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,1.61943,47.265604,31,25
120-240,1.238558,47.501335,46,58
240-360,24.005249,27.71088,68,47
360-480,30.94307,24.716834,72,71
480-600,9.060011,39.036071,33,102
600-720,4.097671,44.360194,47,68
720-840,3.071978,45.53979,28,87
840-960,2.667673,45.893766,40,62
960-1080,3.799347,44.526973,45,74
1080-1200,3.101902,45.39463,43,78
1200-1320,2.76503,45.717708,48,77
1320-1440,2.393802,46.206464,31,78
1440-1560,14.315829,35.394909,81,42
1560-1680,10.210236,37.43332,40,99
1680-1800,4.965392,43.358803,48,65
1800-1920,21.38961,30.2736,77,60
1920-2040,9.055216,39.532741,48,111
2040-2160,3.735238,44.775153,37,84
2160-2280,6.511259,42.20677,66,80
2280-2400,23.009339,28.184828,76,74
2400-2520,20.068663,30.168039,95,83
2520-2640,26.666023,26.348305,82,98
2640-2760,16.545369,33.69357,63,110
2760-2880,8.066221,40.207439,58,101
2880-3000,55.514445,8.998055,135,12
3000-3120,46.285222,11.763338,169,52
3120-3240,26.434953,18.221648,167,117
3240-3360,30.249393,16.733128,164,107
3360-3480,28.44434,18.69429,134,113
3480-3600,25.638359,23.695178,105,117
3600-3720,22.381477,28.022939,100,114
3720-3840,21.560023,26.270813,113,105
3840-3960,24.558859,24.558957,118,104
3960-4080,21.949765,27.275416,110,115
4080-4200,23.277296,27.865874,98,115
4200-4320,22.380311,29.310194,87,115
4320-4440,14.677869,34.180826,85,112
4440-4560,14.168192,35.217434,84,112
4560-4680,12.786847,36.033296,87,114
4680-4800,15.98332,33.746915,88,111
4800-4920,17.002621,31.164281,107,116
4920-5040,20.77424,28.658522,122,115
5040-5160,26.281136,22.582992,124,113
5160-5280,25.974058,23.915645,130,116
5280-5400,27.060713,21.662796,144,103
5400-5520,27.163241,19.594972,156,111
5520-5640,27.453828,16.810044,172,109
5640-5760,27.615933,17.283383,182,114
5760-5880,31.022111,15.459002,177,110
5880-6000,28.207613,16.960846,190,114
6000-6120,31.775224,15.467726,188,117
6120-6240,33.794498,13.626644,197,104
6240-6360,45.066462,9.163007,223,71
6360-6480,50.794103,3.298373,275,5
SUM,,,,4887
0-120,0.916848,48.092372,20,23
120-240,1.773745,47.09569,41,44
240-360,7.307075,40.48652,58,55
360-480,43.521728,18.558097,97,36
480-600,19.400378,30.980695,49,114
600-720,2.635739,45.687395,37,78
720-840,4.357174,44.412181,43,76
840-960,5.135289,43.099367,51,75
960-1080,3.34667,44.904611,50,90
1080-1200,3.382343,45.119304,42,82
1200-1320,2.673461,45.55164,41,66
1320-1440,1.885891,46.557432,35,63
1440-1560,2.995586,45.853529,39,74
1560-1680,1.686036,47.19534,44,65
1680-1800,3.100382,45.316046,46,74
1800-1920,4.41931,44.140954,52,85
1920-2040,4.754884,43.452366,47,90
2040-2160,11.300475,37.023534,65,62
2160-2280,51.720796,10.431429,138,20
2280-2400,42.067758,14.137032,158,67
2400-2520,30.500407,18.593563,133,113
2520-2640,27.568409,22.648806,120,105
2640-2760,25.794788,25.330096,78,114
2760-2880,41.793023,13.114363,113,41
2880-3000,30.533515,21.675376,128,93
3000-3120,23.525376,21.738303,127,109
3120-3240,23.580721,23.047909,108,110
3240-3360,26.506068,24.309474,111,104
3360-3480,22.745411,27.404159,84,118
3480-3600,15.862446,34.194607,77,112
3600-3720,13.962514,35.125739,81,109
3720-3840,13.156438,36.555405,82,114
3840-3960,13.617764,35.283672,70,112
3960-4080,7.739967,40.556628,71,102
4080-4200,10.589367,38.213377,65,104
4200-4320,9.330901,39.532678,65,99
4320-4440,7.218121,40.983223,67,104
4440-4560,6.860641,41.590967,73,104
4560-4680,11.030939,37.389442,77,102
4680-4800,14.845519,33.885183,98,103
4800-4920,20.804019,28.296073,116,113
4920-5040,25.034061,23.976428,127,113
5040-5160,38.871149,14.451815,147,73
5160-5280,37.073364,14.019309,165,84
5280-5400,27.768548,17.840275,181,112
5400-5520,26.105276,16.479422,174,115
5520-5640,27.950954,16.227042,180,108
5640-5760,27.116508,16.463684,180,114
5760-5880,33.099911,14.592806,179,101
5880-6000,28.700496,16.463918,190,119
6000-6120,30.94568,15.218307,199,113
6120-6240,31.199163,14.377705,205,111
6240-6360,34.614289,13.856717,207,108
6360-6480,30.291235,14.173648,205,117
6480-6600,33.463388,12.974001,211,100
6600-6720,30.43787,13.536911,208,111
6720-6840,32.159402,13.758861,208,109
6840-6960,30.584989,14.186051,217,114
6960-7080,36.904301,12.782918,213,109
7080-7200,31.796324,13.927832,210,113
7200-7320,31.62304,13.840419,208,112
7320-7440,30.407617,14.136004,207,116
7440-7560,45.322448,7.333664,240,52
7560-7680,35.798147,11.359435,224,106
7680-7800,29.419105,13.56386,220,116
7800-7920,31.42803,13.384703,215,113
7920-8040,30.53476,13.812226,215,114
8040-8160,33.018597,12.811032,222,109
8160-8280,34.179645,12.747495,213,109
8280-8400,35.8834,13.142652,208,107
8400-8520,34.021506,12.451888,211,100
8520-8640,31.505088,13.621064,211,113
8640-8760,35.673341,10.82593,224,87
8760-8880,33.569679,13.082924,221,115
8880-9000,37.647572,11.275869,236,89
9000-9120,37.585353,10.435539,219,100
9120-9240,32.213735,12.940726,213,110
9240-9360,31.737691,13.606674,217,111
9360-9480,32.345463,13.927573,215,114
9480-9600,32.767867,13.42539,207,111
9600-9720,30.001602,13.935084,211,113
9720-9840,33.830263,13.901156,206,113
9840-9960,34.032208,13.416831,208,108
9960-10080,32.872493,12.222745,232,92
10080-10200,42.446478,8.733099,241,77
10200-10320,21.799617,7.480581,252,21
SUM,,,,8196
0-120,1.691611,47.481679,18,26
120-240,0.970496,48.01318,41,41
240-360,2.298613,46.004786,50,69
360-480,5.890969,42.853224,39,81
480-600,2.774357,45.674367,32,76
600-720,2.558117,46.16792,35,67
720-840,2.540243,46.046097,58,66
840-960,17.097761,32.046059,69,61
960-1080,67.020922,3.96817,140,1
1080-1200,35.284299,17.257153,140,85
1200-1320,27.558229,22.947352,94,116
1320-1440,16.202118,32.709754,46,112
1440-1560,49.480805,13.326171,102,14
1560-1680,54.694734,10.661055,135,39
1680-1800,25.546314,25.475724,97,118
1800-1920,20.221011,30.40007,69,115
1920-2040,22.662372,27.607725,82,77
2040-2160,66.690153,5.229715,160,0
2160-2280,31.522989,17.267638,170,101
2280-2400,28.470902,18.138907,142,112
2400-2520,26.842307,20.771731,129,111
2520-2640,29.442939,20.307409,119,100
2640-2760,23.186208,27.188853,93,114
2760-2880,16.459437,31.62489,62,112
2880-3000,22.615675,29.724914,92,77
3000-3120,17.329358,32.528525,82,115
3120-3240,15.96974,33.463488,85,110
3240-3360,23.236057,29.059248,87,100
3360-3480,16.536267,33.160655,76,115
3480-3600,14.737144,34.979956,74,106
3600-3720,12.909581,36.209365,71,110
3720-3840,36.72356,19.562426,112,55
3840-3960,49.930855,11.050194,146,49
3960-4080,29.193171,21.124926,144,110
4080-4200,31.189307,18.563004,157,101
4200-4320,26.915523,19.480552,145,116
4320-4440,26.010166,20.967881,142,119
4440-4560,27.258683,19.296617,146,108
4560-4680,27.986141,20.885702,138,108
4680-4800,26.080354,21.049081,142,118
4800-4920,26.845145,20.61694,133,116
