no,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
1440-1560,2.535478,47.197469,41,73
1560-1680,2.972854,46.782696,42,71
1680-1800,9.241997,40.828377,61,71
1800-1920,41.728504,20.092748,105,46
1920-2040,68.019055,11.174641,167,33
2040-2160,59.620645,13.019127,165,83
2160-2280,42.944117,19.280564,139,122
2280-2400,39.019006,20.839806,112,117
2400-2520,28.907825,25.590012,105,111
2520-2640,22.247127,29.397545,77,105
2640-2760,15.976906,34.980036,69,107
2760-2880,12.83467,37.711605,64,105
2880-3000,10.759577,39.08985,75,97
3000-3120,12.845983,36.738479,87,110
3120-3240,21.269852,31.617977,104,110
3240-3360,26.47401,27.927892,91,119
3360-3480,22.494136,30.582418,73,113
3480-3600,9.57589,39.551497,55,104
3600-3720,14.671749,36.646579,84,92
3720-3840,16.483991,34.420225,73,110
3840-3960,12.856204,37.18041,71,112
3960-4080,21.320511,31.029614,85,83
4080-4200,45.555713,17.321658,132,54
4200-4320,38.381313,21.5941,130,115
4320-4440,32.328903,24.550063,125,124
4440-4560,27.138503,26.874713,114,119
4560-4680,27.125099,27.549314,110,120
4680-4800,28.517087,26.428336,98,115
4800-4920,21.471064,30.614481,83,116
4920-5040,13.385368,36.171046,78,110
5040-5160,13.012749,36.916986,87,108
5160-5280,21.782575,31.339272,102,114
5280-5400,27.212921,27.588434,124,116
5400-5520,30.474515,24.929698,133,120
5520-5640,34.22635,22.676363,129,114
5640-5760,32.071601,23.975601,154,118
5760-5880,41.437174,20.004329,162,120
5880-6000,43.934545,18.456158,175,114
6000-6120,45.278518,18.042916,190,123
6120-6240,47.521506,16.974198,196,125
6240-6360,40.430551,16.414334,227,92
SUM,,,,5036
0-120,2.162746,48.466348,37,30
120-240,4.495456,45.774463,46,66
240-360,1.936402,47.849309,45,75
360-480,4.147578,46.070941,41,68
480-600,1.929549,48.245433,27,71
600-720,2.133904,48.350576,51,58
720-840,3.641386,46.310533,40,78
840-960,2.946354,47.171672,37,72
960-1080,2.676379,47.774222,37,76
1080-1200,2.219862,47.667402,38,67
1200-1320,2.560808,47.204481,41,69
1320-1440,5.98039,44.034247,51,77
1440-1560,6.459458,43.301926,40,79
1560-1680,3.303817,46.905161,38,80
1680-1800,4.038528,46.688779,42,79
1800-1920,9.137546,41.019654,68,77
1920-2040,10.711025,38.700214,60,101
2040-2160,5.153433,44.020632,40,90
2160-2280,6.762136,43.414021,54,73
2280-2400,20.720575,31.032837,73,64
2400-2520,29.100265,26.393379,93,75
2520-2640,21.592571,30.40668,65,105
2640-2760,11.841981,38.778569,57,105
2760-2880,20.554827,31.764667,85,75
2880-3000,29.265117,26.303079,87,90
3000-3120,16.139244,34.345912,79,116
3120-3240,13.789034,36.435856,87,111
3240-3360,19.033771,32.781755,58,112
3360-3480,8.110783,41.579343,58,97
3480-3600,50.914807,14.441631,158,9
3600-3720,21.147146,7.40903,191,0
SUM,,,,2345
