20,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
6480-6600,26.351332,25.692711,158,134
6600-6720,29.905475,23.95004,162,132
6720-6840,26.988555,24.164912,181,133
6840-6960,35.870065,20.192147,158,138
6960-7080,30.191517,23.269826,178,130
7080-7200,38.697708,19.242247,172,134
7200-7320,33.109624,20.607437,189,117
7320-7440,57.813176,11.561992,214,86
7440-7560,41.205451,17.265787,178,136
7560-7680,44.427297,17.383865,155,132
7680-7800,34.467797,21.845686,155,125
7800-7920,33.601061,21.554574,150,135
7920-8040,41.409105,17.197584,185,99
8040-8160,55.71613,12.008972,215,81
8160-8280,46.880776,14.908068,182,127
8280-8400,43.230354,18.649621,178,128
8400-8520,31.573977,21.301703,183,135
8520-8640,45.330479,16.060203,148,123
8640-8760,32.710927,23.160181,156,135
8760-8880,28.226374,23.710227,179,131
8880-9000,37.034256,19.733595,164,133
9000-9120,39.592288,17.36183,195,124
9120-9240,45.523472,17.698146,168,128
9240-9360,30.448461,22.738119,191,131
9360-9480,58.976274,10.993288,210,81
9480-9600,51.915896,14.054748,187,119
9600-9720,42.487454,17.774071,159,119
9720-9840,32.599062,21.884386,158,131
9840-9960,39.737581,19.757025,185,133
9960-10080,37.310339,19.562671,165,136
10080-10200,36.58418,21.154646,163,140
10200-10320,33.97471,21.882223,153,133
10320-10440,30.413614,22.330655,175,132
10440-10560,38.240093,20.598421,171,135
10560-10680,30.812477,22.559043,161,138
10680-10800,35.029625,20.924905,134,139
10800-10920,34.772928,21.43648,146,131
10920-11040,33.739252,21.77442,149,133
11040-11160,33.027067,21.935412,186,124
11160-11280,47.523584,17.193779,189,126
11280-11400,34.647384,21.13384,169,147
11400-11520,36.130123,19.999818,177,125
11520-11640,46.637589,14.838798,178,115
11640-11760,46.116368,17.751376,177,124
11760-11880,43.232306,17.433342,176,128
11880-12000,36.83331,20.143838,168,120
12000-12120,33.756742,20.454876,159,132
12120-12240,37.646693,20.542868,151,130
12240-12360,32.447661,22.07442,166,128
12360-12480,34.708236,20.308111,191,128
12480-12600,38.856901,19.184149,175,134
12600-12720,31.170136,22.559326,160,135
12720-12840,40.348815,19.024053,173,128
12840-12960,33.3932,21.1678,179,137
12960-13080,44.56219,17.024561,155,129
13080-13200,34.107539,22.105135,146,134
13200-13320,31.733079,22.448566,168,126
13320-13440,37.972043,19.622761,202,123
13440-13560,49.755073,14.318376,179,120
13560-13680,36.880983,20.40128,172,129
13680-13800,40.169496,18.712719,146,140
13800-13920,37.211477,20.948629,164,121
13920-14040,29.516047,24.170787,161,138
14040-14160,52.242811,13.109665,189,91
14160-14280,60.510601,10.049794,229,60
14280-14400,53.975569,12.521682,185,133
14400-14520,42.767311,18.896505,161,122
14520-14640,35.480881,20.522836,171,122
14640-14760,36.141752,19.474729,158,116
14760-14880,33.014928,21.536952,175,122
14880-15000,43.874095,17.589129,228,131
SUM,,,,14048
0-120,2.10711,47.783356,28,34
120-240,1.711816,47.76798,37,61
240-360,1.76371,47.636308,38,69
360-480,1.898429,47.79161,30,69
480-600,1.786941,47.779587,31,63
600-720,2.309125,47.332814,43,69
720-840,2.061225,47.342739,54,71
840-960,2.947395,46.359872,32,86
960-1080,1.859825,47.78758,33,70
1080-1200,2.132444,47.376534,40,67
1200-1320,1.771678,47.809604,39,74
1320-1440,1.532067,48.106873,42,74
1440-1560,1.982065,47.522283,40,72
1560-1680,1.97876,47.405664,40,72
1680-1800,3.544027,45.934976,47,83
1800-1920,5.204055,44.073389,49,88
1920-2040,28.68209,28.260353,78,66
2040-2160,6.917941,41.194741,51,108
2160-2280,4.119825,45.350347,54,93
2280-2400,5.192779,43.980171,52,92
2400-2520,5.165778,43.966977,66,90
2520-2640,3.687258,45.29586,53,90
2640-2760,9.230658,40.18357,67,85
2760-2880,14.28009,35.715449,73,94
2880-3000,40.247372,18.488447,128,53
3000-3120,38.040989,19.738435,130,111
3120-3240,30.081964,24.374647,134,121
3240-3360,29.153168,25.391185,117,134
3360-3480,25.577054,26.988839,101,111
3480-3600,14.365909,35.03111,59,128
3600-3720,7.455942,41.922506,75,105
3720-3840,7.87303,41.17943,58,116
3840-3960,7.63468,41.627411,64,104
3960-4080,8.624035,41.012931,56,105
4080-4200,5.56286,43.490216,64,93
4200-4320,5.63993,43.425917,65,112
4320-4440,22.97232,29.984078,106,78
