,41,42,43,44,45
0,4021.1,6811.9,6492,6331.3,3627.1
10,4967.3,7374.2,15000,8046.6,11076.7
20,11759.1,15000.0,13815.2,6375.2,6655.8
30,9799.1,10624.1,8865.2,8340.2,6420.8
40,7533.1,7674.1,15000.0,7770.2,3965.8
50,10808.1,12939.1,11345.2,7355.2,10545.8
60,3608.1,10564.1,11550.2,15000.0,5895.8
70,6458.1,10244.1,5805.2,6550.2,5674.2
80,14912.8,8137.8,12445.2,9140.2,15000.0
90,9387.8,8037.8,10055.2,11410.2,12618.4
100,6227.8,5372.8,6610.2,5935.2,4268.4
