no,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
2160-2280,3.235618,46.876653,45,70
2280-2400,1.851484,48.789342,32,80
2400-2520,2.365395,48.033358,49,75
2520-2640,3.763126,45.95432,59,85
2640-2760,5.827284,44.356132,43,101
2760-2880,3.664247,46.695069,46,87
2880-3000,2.429588,47.444666,35,79
3000-3120,2.941939,47.341606,47,77
3120-3240,2.7385,47.803406,48,83
3240-3360,2.825756,47.417697,41,81
3360-3480,2.138003,47.992844,55,71
3480-3600,4.259989,46.210875,49,103
3600-3720,6.642818,43.693794,53,94
3720-3840,6.104297,44.048215,54,95
3840-3960,4.161349,45.67189,55,92
3960-4080,3.266174,46.676413,54,93
4080-4200,5.59429,44.081768,46,87
4200-4320,3.342265,46.215243,68,72
4320-4440,9.024245,41.231779,65,99
4440-4560,31.260438,24.820041,103,58
4560-4680,25.05967,28.242526,95,113
4680-4800,20.570864,31.195512,94,112
4800-4920,19.223757,32.418097,91,115
4920-5040,18.909177,32.853963,79,112
5040-5160,12.585201,37.144401,72,113
5160-5280,9.842828,40.312132,81,111
5280-5400,14.648882,35.726636,76,107
5400-5520,18.272526,33.484936,107,117
5520-5640,22.398201,29.894876,111,121
5640-5760,26.119895,27.730917,106,117
5760-5880,32.828029,23.983457,121,101
5880-6000,31.337565,24.535903,133,114
6000-6120,36.623174,22.105047,141,120
6120-6240,36.441864,21.880062,150,119
6240-6360,40.464165,19.955595,136,120
6360-6480,34.075821,24.084139,112,117
6480-6600,27.589403,26.91372,116,120
6600-6720,39.784119,20.961256,123,90
6720-6840,30.364594,24.976566,141,122
6840-6960,19.51947,19.28932,162,35
SUM,,,,4955
0-120,0.42764,50.697619,27,27
120-240,1.621179,49.176473,23,61
240-360,1.444604,49.52565,19,51
360-480,2.521051,48.022039,33,44
480-600,1.866112,48.152499,29,54
600-720,1.490791,48.997855,34,56
720-840,2.146264,48.368222,39,63
840-960,1.672762,49.16653,27,62
960-1080,1.84108,48.969638,30,58
1080-1200,1.884656,49.099579,31,57
1200-1320,1.613987,48.850763,28,61
1320-1440,1.25334,49.309324,42,59
1440-1560,2.582883,47.825881,48,76
1560-1680,3.279253,46.498355,38,82
1680-1800,1.885596,47.928411,30,60
1800-1920,1.678023,49.633648,42,62
1920-2040,3.516917,46.609394,36,83
2040-2160,1.844103,48.232643,36,71
2160-2280,2.953789,47.778006,38,76
2280-2400,2.410198,47.895543,44,79
2400-2520,2.869281,47.092751,49,78
2520-2640,2.237268,48.112638,54,87
2640-2760,4.405649,45.34721,49,94
2760-2880,2.782478,47.189292,39,82
2880-3000,1.893136,48.361656,45,68
3000-3120,7.589628,42.934619,58,89
3120-3240,3.846489,45.867399,47,89
3240-3360,4.423656,45.834557,56,90
3360-3480,3.039795,46.674932,35,91
3480-3600,2.653768,48.042064,47,70
3600-3720,3.438065,47.292101,47,85
3720-3840,8.423492,41.915596,71,88
3840-3960,35.383491,23.69859,102,61
3960-4080,31.5129,24.978703,76,104
4080-4200,11.054292,38.201696,58,107
4200-4320,6.037826,43.831339,69,100
4320-4440,6.831496,42.681755,76,108
4440-4560,13.061709,37.45624,74,107
4560-4680,8.389743,40.772344,39,107
4680-4800,4.843379,45.368888,62,79
4800-4920,6.216302,43.638407,56,105
4920-5040,5.673146,44.037535,67,104
5040-5160,9.990126,39.96772,67,106
5160-5280,29.018661,26.480517,117,69
5280-5400,44.357556,19.726513,132,99
5400-5520,34.513184,22.377999,133,120
5520-5640,42.177699,19.481266,136,101
5640-5760,34.369005,22.571966,137,116
5760-5880,35.371084,22.737059,127,120
5880-6000,42.350777,19.783037,145,89
6000-6120,40.603799,20.030313,134,119
6120-6240,50.213434,17.2405,153,87
6240-6360,40.795256,19.168015,139,123
6360-6480,9.005694,21.04894,144,17
SUM,,,,4401
