,41,42,43,44,45
0,5983.7,6735.1,3903.9,6881.6,6377.5
20,13509.8,20428.6,13255.5,15870.2,25294
40,18327.6,17438.6,14880.5,18280.2,19024
60,7432.6,13463.6,16585.5,14385.2,14329
80,15887.6,11482.4,30270.5,26190.2,13832.7
100,7572.6,7177.4,8195.5,9340.2,7517.8
