scoot,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,11.211338,40.674111,57,28
120-240,21.088204,33.0827,89,86
240-360,25.107144,29.642288,104,109
360-480,26.765061,28.080106,123,114
480-600,30.466636,25.504645,124,116
600-720,32.96564,24.259295,147,117
720-840,44.975753,19.166146,159,110
840-960,49.849919,16.584269,187,111
960-1080,50.413731,15.655605,223,116
1080-1200,56.004252,14.130563,233,112
1200-1320,58.920769,13.022746,242,119
1320-1440,57.292424,13.092514,268,116
1440-1560,68.715865,11.000723,244,117
1560-1680,66.212771,11.160478,260,105
1680-1800,65.335437,11.489955,253,113
1800-1920,61.530516,12.076232,260,112
1920-2040,66.535102,11.324483,254,111
2040-2160,64.190692,11.807352,254,111
2160-2280,64.058108,11.224086,274,111
2280-2400,5.32156,11.472798,275,8
SUM,,,,2042
0-120,8.027062,42.975812,46,25
120-240,15.249786,36.915598,81,80
240-360,23.369884,31.214228,103,100
360-480,23.939817,29.08333,114,113
480-600,30.698731,25.185607,148,106
600-720,40.04261,20.421463,173,114
720-840,51.199253,16.656354,162,112
840-960,48.809804,17.018645,186,109
960-1080,48.785186,16.399249,226,119
1080-1200,57.484803,12.798346,261,106
1200-1320,17.57222,11.423541,249,26
SUM,,,,1010
0-120,11.174273,40.798067,43,28
120-240,12.950114,38.803923,84,80
240-360,27.932217,28.74586,103,96
360-480,30.233214,25.800489,120,107
480-600,30.187801,25.780672,142,120
600-720,37.46485,21.587125,163,114
720-840,48.735656,17.191675,168,110
840-960,50.74566,16.262536,193,104
960-1080,50.540444,15.388012,238,115
1080-1200,57.794633,13.08029,249,117
1200-1320,62.862468,12.31986,246,119
1320-1440,64.58518,11.396369,261,105
1440-1560,62.8875,11.935383,258,115
1560-1680,63.813553,11.862648,255,117
1680-1800,63.29202,11.572685,261,113
1800-1920,68.707722,10.054731,281,96
1920-2040,25.325114,11.121276,267,34
SUM,,,,1690
0-120,8.817475,43.364154,54,42
120-240,16.18458,36.635111,77,86
240-360,19.64764,33.376758,83,102
360-480,23.901402,30.245742,101,107
480-600,32.317287,25.275109,130,102
600-720,38.794839,21.135235,152,106
720-840,40.24975,20.288994,168,116
840-960,46.114954,17.864931,184,113
960-1080,50.626784,15.353129,240,114
1080-1200,67.576713,10.678105,262,99
1200-1320,65.570336,11.211017,259,114
1320-1440,65.074217,11.006631,270,106
1440-1560,65.599405,11.499447,252,113
1560-1680,61.860876,12.134495,260,116
1680-1800,66.023132,11.319517,258,111
1800-1920,62.399124,11.900443,257,118
1920-2040,62.212836,12.139434,252,113
2040-2160,65.790618,11.148778,260,106
2160-2280,28.070522,10.50753,276,33
SUM,,,,1917
0-120,8.276689,43.081091,74,34
120-240,20.257286,33.081944,92,93
240-360,21.823142,31.797863,86,112
360-480,18.877138,33.461508,97,112
480-600,27.560947,27.952182,113,107
600-720,30.612225,25.770167,128,115
720-840,33.176506,23.735783,154,114
840-960,42.382865,19.728551,170,114
960-1080,47.258009,16.716163,228,116
1080-1200,57.925642,13.495417,239,119
1200-1320,65.376781,11.598783,248,108
1320-1440,67.087252,10.683938,263,106
1440-1560,3.215848,10.088634,262,3
SUM,,,,1253
