,41,42,43,44,45
Our,3000,1931.9,3000,3000,3000
No,1608.9,2162.8,1462.4,3000,2185.4
Equal,3000,3000,3000,2572.3,3000
Scats,1225,1713,1103,1103,1225
Scoot,2287,1224,1956,2200,1444
