scats,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,11.211338,40.674111,57,28
120-240,21.396132,32.832514,90,85
240-360,26.937044,28.288497,109,105
360-480,30.684737,25.869389,133,109
480-600,34.740072,23.174968,136,114
600-720,36.737494,22.100325,163,113
720-840,45.799427,18.44456,166,119
840-960,46.976146,17.323418,185,120
960-1080,49.651739,15.866855,222,107
1080-1200,53.415433,14.78901,226,117
1200-1320,17.448239,12.930663,220,24
SUM,,,,1041
0-120,8.027062,42.975812,46,25
120-240,15.719114,36.586219,85,76
240-360,22.587131,31.201325,103,104
360-480,24.606814,29.007605,114,113
480-600,30.313789,25.39137,146,108
600-720,44.017585,18.856651,178,107
720-840,49.748374,17.046442,163,116
840-960,47.948505,17.262563,182,114
960-1080,46.121208,17.013921,220,115
1080-1200,55.826587,13.90684,237,112
1200-1320,57.075967,13.453654,252,118
1320-1440,63.25547,11.335856,267,109
1440-1560,61.755997,12.814438,239,121
1560-1680,63.006754,12.212581,251,115
1680-1800,21.839807,12.842848,253,37
SUM,,,,1490
0-120,11.174273,40.798067,43,28
120-240,13.666704,38.219977,88,76
240-360,26.124894,29.585482,102,101
360-480,25.637444,28.455972,109,117
480-600,31.030558,25.304624,143,108
600-720,40.902203,20.025495,170,108
720-840,49.692402,16.806746,174,111
840-960,48.778935,16.533401,193,110
960-1080,50.07476,15.53953,228,113
1080-1200,15.36091,14.390745,211,27
SUM,,,,899
0-120,8.817475,43.364154,54,42
120-240,16.391595,36.487003,78,85
240-360,18.491571,34.120367,78,108
360-480,24.529508,30.057954,103,100
480-600,32.35409,25.085775,133,101
600-720,40.590556,20.245054,156,105
720-840,43.896855,18.647176,176,112
840-960,49.215037,16.549209,192,113
960-1080,48.359433,16.584755,223,120
1080-1200,15.027467,14.573324,223,25
SUM,,,,911
0-120,8.276689,43.081091,74,34
120-240,20.357208,33.032018,92,93
240-360,24.786071,29.643197,95,103
360-480,22.736849,30.903484,103,115
480-600,24.043396,29.769153,108,118
600-720,31.624423,25.503151,131,107
720-840,36.273315,21.915551,161,110
840-960,42.738911,19.300268,171,120
960-1080,45.67028,17.895302,202,122
1080-1200,50.925658,15.386573,230,114
1200-1320,17.366414,12.813387,217,28
SUM,,,,1064
