equal,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,11.072426,40.560367,59,26
120-240,15.61853,36.518667,79,98
240-360,14.905675,37.049429,76,127
360-480,17.832373,34.706214,99,110
480-600,17.261307,34.303018,88,128
600-720,19.297396,33.413241,112,116
720-840,17.880855,34.378427,84,150
840-960,19.087287,33.853463,96,127
960-1080,14.227215,37.108522,109,139
1080-1200,19.166872,33.289693,117,142
1200-1320,17.436145,34.116557,137,156
1320-1440,24.418356,29.22368,159,155
1440-1560,32.709238,24.203189,180,155
1560-1680,37.304686,21.464977,222,154
1680-1800,46.675685,17.66674,236,153
1800-1920,52.149211,16.048709,251,157
1920-2040,53.3154,15.386507,261,155
2040-2160,52.541963,15.488437,263,155
2160-2280,54.359901,15.199982,257,153
2280-2400,53.101913,15.394597,261,156
2400-2520,52.483879,15.43241,266,156
2520-2640,53.802891,15.288064,259,153
2640-2760,53.084022,15.54927,259,156
2760-2880,55.004127,14.658573,265,143
2880-3000,54.775527,14.572374,268,154
SUM,,,,3474
0-120,8.606841,42.258493,48,23
120-240,13.73726,37.819043,78,85
240-360,19.898014,33.851632,94,106
360-480,13.689391,36.190168,91,127
480-600,17.288986,34.878765,108,123
600-720,16.379966,35.294774,103,144
720-840,17.589801,34.562501,69,135
840-960,15.856755,36.153936,85,117
960-1080,18.058206,34.584773,122,122
1080-1200,21.864334,31.501478,124,150
1200-1320,22.909733,30.354337,147,150
1320-1440,26.7846,27.710055,154,157
1440-1560,32.857422,25.100808,147,155
1560-1680,29.515224,25.551563,201,155
1680-1800,40.718958,19.880892,228,156
1800-1920,50.491693,16.481435,246,153
1920-2040,52.053672,15.536578,270,155
2040-2160,53.206737,15.42542,256,157
2160-2280,52.232216,15.441803,267,153
2280-2400,53.759427,15.305024,259,155
2400-2520,53.383503,15.262808,266,153
2520-2640,54.289067,15.315927,254,156
2640-2760,53.070496,15.358541,266,153
2760-2880,54.020653,15.034981,263,156
2880-3000,52.718984,15.494843,262,156
SUM,,,,3452
0-120,10.112147,41.480584,45,26
120-240,12.139469,39.302637,76,90
240-360,17.55422,35.833541,78,113
360-480,16.46548,35.278889,84,118
480-600,15.334642,36.071969,102,124
600-720,16.93374,34.88669,104,133
720-840,17.422097,34.575318,81,138
840-960,15.174731,36.084144,88,122
960-1080,15.211505,36.606266,119,129
1080-1200,19.239698,32.962072,128,153
1200-1320,24.980542,29.375799,153,153
1320-1440,28.928971,26.165592,166,156
1440-1560,34.109072,23.898771,179,154
1560-1680,37.130476,21.376941,217,157
1680-1800,42.955231,18.756771,244,155
1800-1920,46.098257,17.268474,259,156
1920-2040,53.125061,15.557376,254,156
2040-2160,53.519226,15.488992,256,154
2160-2280,53.246326,15.482659,260,154
2280-2400,53.042668,15.462672,261,156
2400-2520,53.718561,15.328463,259,154
2520-2640,52.809749,15.610536,259,157
2640-2760,52.546957,15.559018,262,156
2760-2880,52.120171,15.761588,260,157
2880-3000,53.256383,15.23876,264,155
SUM,,,,3476
0-120,8.766552,43.232431,56,40
120-240,16.4402,36.500679,70,95
240-360,13.321415,38.305748,64,114
360-480,14.314801,37.780847,80,109
480-600,14.87608,36.984627,83,128
600-720,17.64837,34.453413,95,116
720-840,17.055791,35.122091,94,133
840-960,16.866154,34.883501,96,127
960-1080,18.253237,34.111902,133,133
1080-1200,24.994305,29.309525,134,154
1200-1320,25.439291,28.456157,163,153
1320-1440,33.847066,23.954689,178,156
1440-1560,36.261452,21.87983,212,152
1560-1680,45.977016,17.58827,250,154
1680-1800,52.453043,15.653767,258,155
1800-1920,53.397815,15.396651,262,154
1920-2040,54.077361,15.29883,258,157
2040-2160,53.320764,15.427268,261,154
2160-2280,53.469504,15.263985,264,154
2280-2400,53.363609,15.23888,262,156
2400-2520,52.468565,15.389365,267,153
2520-2640,31.225178,13.088807,272,58
SUM,,,,2905
0-120,9.480192,41.768067,78,30
120-240,13.944673,37.553968,73,116
240-360,20.332392,33.811202,77,102
360-480,13.138979,38.135863,80,120
480-600,14.045498,37.354501,78,125
600-720,17.437147,35.368779,91,117
720-840,13.135739,37.469779,99,132
840-960,17.812867,34.93998,100,129
960-1080,17.370628,34.409138,133,141
1080-1200,27.624746,28.107899,140,148
1200-1320,26.531746,27.976128,145,154
1320-1440,27.914199,27.241792,154,156
1440-1560,30.556984,25.190354,186,153
1560-1680,40.87927,20.465856,201,154
1680-1800,44.878518,18.828365,221,155
1800-1920,48.778697,17.420407,229,155
1920-2040,50.82795,16.009738,264,155
2040-2160,53.122377,15.48259,258,156
2160-2280,54.109356,15.186858,259,152
2280-2400,53.371985,15.546575,253,156
2400-2520,53.427644,15.408974,261,156
2520-2640,54.223489,15.069048,263,150
2640-2760,52.843847,15.591281,256,158
2760-2880,53.296319,15.490712,259,153
2880-3000,52.657402,15.442731,264,155
SUM,,,,3478
